1000,AAAA800101,5000,1998-07-08,165,,,
1010,BBBB800101,5001,2000-05-03,528,,,
1020,CCCC800101,5002,2001-07-29,582,,,
1030,DDDD800101,5003,1998-02-21,202,,,
1040,EEEE800101,5004,1999-12-11,263,,,
1050,FFFF800101,5005,2000-10-14,503,,,
1060,GGGG800101,5006,2000-05-04,324,,,
1070,HHHH800101,5007,1998-02-23,2,,,
1080,AAAA800101,5008,1999-01-12,86,,,
1090,BBBB800101,5009,2000-08-01,73,,,
1100,CCCC800101,5010,2001-09-10,699,,,
1110,DDDD800101,5011,2003-06-28,368,,,
1120,EEEE800101,5012,2001-04-03,215,,,
1130,FFFF800101,5013,2002-04-04,63,,,
1140,GGGG800101,5014,2001-07-12,219,,,
1150,HHHH800101,5015,1999-03-04,458,,,
1160,AAAA800101,5016,2000-06-01,162,,,
1170,BBBB800101,5017,1998-02-04,180,,,
1180,CCCC800101,5018,2002-06-14,407,,,
1190,DDDD800101,5019,1998-09-12,94,,,
1200,EEEE800101,5000,2000-03-05,177,,,
1210,FFFF800101,5001,1999-11-05,43,,,
1220,GGGG800101,5002,2003-02-01,24,,,
1230,HHHH800101,5003,2003-01-06,530,,,
1240,AAAA800101,5004,2003-01-12,152,,,
1250,BBBB800101,5005,2002-07-08,71,,,
1260,CCCC800101,5006,1999-05-10,460,,,
1270,DDDD800101,5007,1999-03-10,506,,,
1280,EEEE800101,5008,2002-07-29,107,,,
1290,FFFF800101,5009,1998-01-08,132,,,
1300,GGGG800101,5010,2003-01-08,119,,,
1310,HHHH800101,5011,2002-04-12,72,,,
1320,AAAA800101,5012,2003-01-06,698,,,
1330,BBBB800101,5013,1998-12-10,554,,,
1340,CCCC800101,5014,2002-12-02,324,,,
1350,DDDD800101,5015,1999-05-09,272,,,
1360,EEEE800101,5016,2000-11-07,364,,,
1370,FFFF800101,5017,2000-02-12,44,,,
1380,GGGG800101,5018,2002-03-03,302,,,
1390,HHHH800101,5019,2003-01-12,107,,,
1400,AAAA800101,5000,2002-03-12,382,,,
1410,BBBB800101,5001,2000-02-05,601,,,
1420,CCCC800101,5002,1998-04-07,603,,,
1430,DDDD800101,5003,1999-09-02,576,,,
1000,AAAA800101,5019,1999-08-08,254,,,
1010,BBBB800101,5018,2002-03-29,523,,,
1020,CCCC800101,5017,1999-02-04,8,,,
1030,DDDD800101,5016,2000-11-05,295,,,
1040,EEEE800101,5015,2002-07-12,540,,,
1050,FFFF800101,5014,1999-03-07,623,,,
1060,GGGG800101,5013,2000-01-02,692,,,
1070,HHHH800101,5012,1999-12-03,503,,,
1080,AAAA800101,5011,2002-11-07,699,,,
1090,BBBB800101,5010,1998-01-03,421,,,
1100,CCCC800101,5009,2000-08-06,466,,,
1110,DDDD800101,5008,1999-05-10,337,,,
1120,EEEE800101,5007,2001-07-07,692,,,
1130,FFFF800101,5006,2002-07-06,562,,,
1140,GGGG800101,5005,2001-09-02,583,,,
1150,HHHH800101,5004,2001-08-10,453,,,
1160,AAAA800101,5019,1999-06-09,244,,,
1170,BBBB800101,5018,1999-11-12,53,,,
1180,CCCC800101,5017,2001-03-03,334,,,
1190,DDDD800101,5016,2000-02-04,356,,,
1200,EEEE800101,5015,2000-05-06,585,,,
1210,FFFF800101,5014,2001-11-03,70,,,
1220,GGGG800101,5013,2002-07-04,658,,,
1230,HHHH800101,5012,2002-12-09,312,,,
1240,AAAA800101,5011,2000-08-12,366,,,
1250,BBBB800101,5010,2002-04-04,691,,,
1260,CCCC800101,5009,1999-08-09,631,,,
1270,DDDD800101,5008,1997-09-03,546,,,
1280,EEEE800101,5007,2000-02-03,331,,,
1290,FFFF800101,5006,2001-02-08,279,,,
1300,GGGG800101,5005,2002-06-10,521,,,
1310,HHHH800101,5019,2002-10-02,199,,,
1320,AAAA800101,5018,2000-03-07,413,,,
1330,BBBB800101,5017,2000-08-11,93,,,
1340,CCCC800101,5016,1998-11-06,674,,,
1350,DDDD800101,5015,1999-08-02,261,,,
1360,EEEE800101,5014,2002-04-07,265,,,
1370,FFFF800101,5013,2000-04-08,575,,,
1380,GGGG800101,5012,1998-07-08,645,,,
1390,HHHH800101,5011,2001-11-08,697,,,
1400,AAAA800101,5010,1998-06-05,116,,,
1410,BBBB800101,5009,2002-05-03,467,,,
1420,CCCC800101,5008,2000-08-02,278,,,
1430,DDDD800101,5007,1998-01-09,13,,,
1000,AAAA800101,5019,2000-04-06,7,,,
1010,BBBB800101,5018,2000-11-10,667,,,
1020,CCCC800101,5017,2001-05-04,478,,,
1030,DDDD800101,5016,1998-04-09,139,,,
1040,EEEE800101,5015,2000-06-10,546,,,
1050,FFFF800101,5014,1999-06-04,90,,,
1060,GGGG800101,5013,2000-07-10,47,,,
1070,HHHH800101,5012,2000-04-01,516,,,
1080,AAAA800101,5011,2003-06-01,429,,,
1090,BBBB800101,5010,1998-06-06,612,,,
1100,CCCC800101,5009,2002-05-07,523,,,
1110,DDDD800101,5008,2000-02-09,292,,,
1120,EEEE800101,5007,1998-03-12,167,,,
1130,FFFF800101,5006,1999-05-06,673,,,
1140,GGGG800101,5005,1998-02-07,651,,,
1150,HHHH800101,5004,2003-09-01,270,,,
1160,AAAA800101,5019,2002-02-08,665,,,
1170,BBBB800101,5018,2001-08-06,517,,,
1180,CCCC800101,5017,2001-06-01,216,,,
1190,DDDD800101,5016,2003-03-07,622,,,
1200,EEEE800101,5015,2000-07-10,653,,,
1210,FFFF800101,5014,2001-09-06,479,,,
1220,GGGG800101,5013,2001-02-08,653,,,
1230,HHHH800101,5012,1999-03-08,115,,,
1240,AAAA800101,5011,2003-08-05,549,,,
1250,BBBB800101,5010,1998-05-08,690,,,
1260,CCCC800101,5009,2003-02-10,2,,,
1270,DDDD800101,5008,2002-04-12,324,,,
1280,EEEE800101,5007,2002-12-07,448,,,
1290,FFFF800101,5006,1999-01-07,336,,,
1300,GGGG800101,5005,2003-02-02,457,,,
1310,HHHH800101,5019,2000-08-03,463,,,
1320,AAAA800101,5018,1999-12-03,163,,,
1330,BBBB800101,5017,1998-06-12,558,,,
1340,CCCC800101,5016,1999-02-10,11,,,
1350,DDDD800101,5015,1999-06-05,330,,,
1360,EEEE800101,5014,2001-07-06,37,,,
1370,FFFF800101,5013,2002-06-05,423,,,
1380,GGGG800101,5012,2001-02-01,147,,,
1390,HHHH800101,5011,2002-01-06,308,,,
1400,AAAA800101,5010,2002-05-03,441,,,
1410,BBBB800101,5009,2002-11-05,461,,,
1420,CCCC800101,5008,2001-02-12,444,,,
1430,DDDD800101,5007,2002-06-10,506,,,
